,,,,,,,,,,
1,,,1340,,,,,,,
,,,,,,,,,,
1,,,2680,,,,,,,
,,,,,,,,,,
1,,,4020,,,,,,,
1,,,5360,,,,,,,
1,,,6700,,,,,,,
1,,,8040,,,,,,,
1,,,,1,1,5,1,1,,
1,,,24120,,,,1,,0.038168000,9
1,,,,1,1,5,2,1,,
1,,,,1,1,5,3,1,,
1,,,24120,,,,1,,0.039926000,9
1,,,,1,1,5,4,1,,
1,,,24120,,,,1,,0.044221000,9
1,,,,1,1,5,5,1,,
1,,,25460,,,,,,,
1,,,,1,1,5,6,1,,
1,,,26800,,,,,,,
1,,,,1,1,5,7,1,,
1,,,28140,,,,,,,
1,,,,1,1,5,8,1,,
1,,,29480,,,,,,,
1,,,,1,1,5,9,1,,
1,,,30820,,,,,,,
1,,,,1,1,5,10,1,,
1,,,32160,,,,,,,
1,0.154357000,11,,,,,,,,
1,,,32160,,,,,,,
1,,,33500,,,,,,,
1,,,34840,,,,,,,
,,,,,,,,,,
1,,,33500,,,,,,,
1,0.198582000,9,,,,,,,,
1,,,14740,,,,,,,
1,0.156036000,20,,,,,,,,
1,,,13400,,,,,,,
1,,,14740,,,,,,,
1,,,16080,,,,,,,
1,0.205255000,22,,,,,,,,
1,,,16080,,,,,,,
1,0.164298000,26,,,,,,,,
1,,,14740,,,,,,,
1,,,16080,,,,,,,
1,0.158346000,30,,,,,,,,
1,,,14740,,,,,,,
1,,,16080,,,,,,,
1,,,17420,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,0.162984000,36,,,,,,,,
1,,,13400,,,,,,,
1,,,14740,,,,,,,
1,,,16080,,,,,,,
1,,,17420,,,,,,,
1,0.210047000,40,,,,,,,,
1,,,14740,,,,,,,
1,,,16080,,,,,,,
1,,,17420,,,,,,,
,,,,,,,,,,
1,,,68,,,,,,,
,,,,,,,,,,
1,0.159799000,44,,,,,1,,,
1,,,16080,,,,,,,
1,,,17420,,,,,,,
1,0.153926000,47,,,,,,,,
1,,,16080,,,,,,,
1,,,17420,,,,,,,
1,0.157769000,49,,,,,,,,
1,,,16080,,,,,,,
1,,,17420,,,,,,,
1,,,18760,,,,,,,
1,0.165563000,54,,,,,,,,
1,,,17420,,,,,,,
1,,,18760,,,,,,,
,,,,,,,,,,
1,0.150306000,59,,,,,,,,
1,,,14740,,,,,,,
1,,,16080,,,,,,,
1,,,17420,,,,,,,
1,,,18760,,,,,,,
1,0.208851000,60,,,,,,,,
1,,,18760,,,,,,,
1,0.162647000,66,,,,,,,,
1,,,17420,,,,,,,
1,,,18760,,,,,,,
1,,,,1,1,85,1,1,,
1,,,20100,,,,,,,
1,,,21440,,,,,,,
1,,,,1,1,85,2,1,,
1,,,21440,,,,1,,,
1,,,22780,,,,,,,
1,,,,1,1,85,3,1,,
1,,,24120,,,,,,,
1,,,25460,,,,,,,
1,,,,1,1,85,4,1,,
1,,,26800,,,,,,,
1,,,,1,1,85,5,1,,
1,,,28140,,,,,,,
1,,,536,,,,1,,0.260726000,64
1,0.000015000,101,,,,,,,,
,,,,,,,,,,
1,0.163300000,98,,,,,,,,
1,,,2680,,,,,,,
1,,,4020,,,,,,,
1,,,5360,,,,,,,
1,,,6700,,,,,,,
1,,,8040,,,,,,,
